Country Name,Country Code,Indicator Name,Indicator Code,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0
Paraguay,PRY,Índice de Gini,SI.POV.GINI,40.8,44.28,47.76,51.24,54.72,58.2,56.55,54.9,54.75,54.6,54.6,54.6,57.3,54.9,52.3,51.4,53.0,53.0,50.7,49.1,51.0,52.3,47.6,47.9,50.7,47.6,47.9,48.8,46.2
Paraguay,PRY,"Brecha de pobreza a $1,90 por día (2011 PPA) (%)",SI.POV.GAPS,0.3,1.3,2.3,3.3,4.3,5.3,4.9,4.5,4.3,4.1,3.6999999999999997,3.3,5.0,2.7,1.7,2.0,2.4,2.4,1.3,1.7,1.7,1.6,0.9,0.6,0.6,0.4,0.3,0.2,0.4
Paraguay,PRY,"Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)",SI.POV.DDAY,1.2,3.4400000000000004,5.680000000000001,7.920000000000001,10.16,12.4,11.5,10.6,10.399999999999999,10.2,9.55,8.9,13.2,8.3,5.7,6.1,7.9,7.8,4.3,5.8,5.5,5.0,3.3,1.8,2.4,1.9,1.7,1.2,1.6
