,Indicator,Country Name,Country Code,Indicator Code,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
Rentas totales de los recursos naturales (% del PIB),Environment,Argentina,ARG,NY.GDP.TOTL.RT.ZS,0.39689748697172406,0.52694068721259,0.588232574640384,0.630438852079981,1.88991011076604,2.4342677330248903,2.7057955105891,2.2497856951469704,2.50629764933815,5.44013919746438,6.381246042119741,5.31220434617456,3.1832114075659703,3.41263975158304,4.176392266286,3.4671585818673396,1.32608106772904,1.8987627851383897,1.56350368744248,3.6691728008341498,2.6035379614721403,1.18674724459978,1.1678179121696899,1.17064857484483,1.05060016141581,1.27206682901626,1.63366630915724,1.4688624158011399,0.87057264033593,1.4302055356680399,2.41686675006453,1.96846711044407,5.71955437786405,4.997431254832611,4.892483023702081,5.729564201193861,6.083989602463469,5.01251539592693,5.1096524916112,3.2831540492830698,3.4841307797588903,3.91425976743871,3.7643736113975,3.3540304830641494,3.03487044523242,1.33670999919501,1.13493944398007,1.32281274795408,,
Rentas del petróleo (% del PIB),Environment,Argentina,ARG,NY.GDP.PETR.RT.ZS,0.267910975226589,0.393252859963052,0.439945261116326,0.4616907681909,1.71642103306898,2.17589634261538,2.4357042234633197,2.01041904237289,2.26992257324773,5.04066559100278,5.94262415051018,4.94068372505507,2.87368188508349,3.0524976522691696,3.7846575135773803,3.13370854206049,1.04649292529285,1.6432814082945202,1.13272762384163,2.8259911432733302,2.23088221637832,0.94556440014239,0.964505997465871,0.963968160116194,0.886982801167758,1.06636776680628,1.4202925682782799,1.2491888833875,0.638974350428515,1.14619832284431,2.05172711204458,1.5639847675574898,4.6234521795655095,4.0763228386735095,3.9711557752086497,4.68366991826191,4.66084925348569,3.76962743422329,4.05474156030357,2.1576224247636797,2.3811209076481403,2.7559128975599303,2.5809892005212096,2.3638724254743,2.15572927411626,0.742371920352042,0.55245226765377,0.73582402708323,,
Renta del gas natural (% del PIB),Environment,Argentina,ARG,NY.GDP.NGAS.RT.ZS,0.0172705840147249,0.0196598709421876,0.0141196468299183,0.011416284808387,0.0190048350621703,0.0633423292970669,0.0582532995116063,0.0209068732711658,0.0270439664802626,0.08691248943648798,0.167191158037,0.16219865137276002,0.074320464291817,0.180238547104835,0.22275853219607603,0.20826143794588198,0.17211504391189097,0.11866192521496302,0.128969243205671,0.297226149398053,0.16985431709439905,0.13380712040647802,0.0971837803587896,0.11532406073834801,0.0938754717282511,0.106650126225062,0.126406810882159,0.13200204312890598,0.11901141341092,0.169424305325871,0.266307695870395,0.30213143082429306,0.7218045800765699,0.609594663795095,0.571812549988778,0.645822125135745,0.7119243644469609,0.599108087507667,0.537652636528868,0.587094353005531,0.37149219676053,0.44448201075193605,0.482256093530715,0.46811609373375296,0.36246573070995897,0.21209985720419697,0.149633139809233,0.19646014875631698,,
Rentas mineras  (% del PIB),Environment,Argentina,ARG,NY.GDP.MINR.RT.ZS,0.0256677336373978,0.0171745897498967,0.0259318218318527,0.0558114887291252,0.0667696740422597,0.0299983594616795,0.0389510127449024,0.0431006026137935,0.0311653674662549,0.059225850469152,0.0659311421206236,0.0302225157595762,0.0189870582135732,0.022173706286981003,0.0280565446340492,0.0225924257502384,0.0110404480762768,0.012151029022536999,0.18793356895266,0.29651068275499703,0.0602599506995371,0.00767360862270267,0.00835860970316793,0.0020412686296513,0.00239296596501305,0.0020670428922859897,0.00211525008749039,0.0211906216319067,0.0528010815428089,0.0639551973694818,0.0587116166722636,0.0631184552323078,0.17828708293035897,0.16861234513137602,0.242351635302228,0.301469789904431,0.6107370877915029,0.547855961780123,0.42736997817956396,0.4390527287285089,0.612044733322455,0.6304664388698961,0.6080555664830029,0.412100643983081,0.41348913589638003,0.298614293155127,0.338983797801228,0.30830975233732105,,
Rentas forestales (% del PIB),Environment,Argentina,ARG,NY.GDP.FRST.RT.ZS,0.0860481940930123,0.0968533665574538,0.10823584486228699,0.101520310351569,0.0860778969537002,0.156207188298576,0.161683500779687,0.166456263460603,0.172823148154895,0.246365535787982,0.19901887625885603,0.163457629713136,0.20013382947099898,0.152022291916898,0.13595593985713,0.0980559275587293,0.0952504707827975,0.124668422606373,0.113729708711584,0.24736127410768,0.141839328470014,0.0992037122490864,0.0976869154475495,0.0893150853606411,0.0673489225547862,0.0968671855546396,0.0848379554097319,0.0664808676528273,0.0597857949536866,0.0506277101283815,0.0401203254772888,0.0391085681092495,0.19601053529160897,0.142900638180915,0.10650100963376499,0.0984438498005398,0.0996856621498722,0.0950017227763653,0.0868349874250686,0.0990324162714289,0.11896253886874002,0.082494041612638,0.0925198826345951,0.10959761273931,0.102988090433625,0.08353285156567901,0.0937959454930159,0.0821323994484193,,
Rentas del carbón (% del PIB),Environment,Argentina,ARG,NY.GDP.COAL.RT.ZS,,0.0,0.0,0.0,0.0016366716389316599,0.008823513352181959,0.0112034740895837,0.008902913428519229,0.0053425939890132295,0.0069697307679799396,0.0064807151930891,0.0156418242740101,0.0160881705060915,0.0057075540051594,0.00496373602136331,0.00454024855200496,0.00118217966522266,0.0,0.000143542730938501,0.0020835513000935,0.000702148829862794,0.00049840317912288,8.2609194311135e-05,0.0,0.0,0.00011470753799458001,1.37244995793304e-05,0.0,0.0,0.0,0.0,0.00012388872073282,0.0,7.690517083990041e-07,0.0006620535686576,0.000158518091231189,0.000793234589441703,0.000922189639480366,0.0030533291741341698,0.000352126513927136,0.000510403159026572,0.0009043786443090911,0.000552868227981925,0.000343707133709397,0.000198214076192433,9.10769179649879e-05,7.429322281918041e-05,8.642032879517791e-05,,
"Ahorro neto ajustado, excluido el daño por emisión de partículas (% del ingreso nacional bruto: INB)",Environment,Argentina,ARG,NY.ADJ.SVNX.GN.ZS,,,,,,,26.469830030228895,25.929977653633898,22.921369101764,16.254248771015803,13.213030769230599,10.4166607077334,10.34226661752,10.640103175548001,9.61746806297249,,7.820427318300871,7.466894817390091,,2.76648444843374,6.85054766834299,7.083805209335611,8.604311329761599,11.740266059099698,11.4510327552146,10.922174979948899,11.2394491824119,8.302446771380941,8.91163657231242,5.6706544591669,5.692541841143809,5.747057723160089,4.9853270855682,8.16177621440954,0.682639362558074,1.08110903420085,9.71665179125306,11.990375044314401,11.0816227080846,9.60274306075166,9.2343398287484,9.97019705389374,8.945175535140448,7.75452781858717,7.87544939649028,7.399395165613001,6.663759259300849,5.5341392899686905,,
"Ahorro neto ajustado, excluido el daño por emisión de partículas (US$ actuales)",Environment,Argentina,ARG,NY.ADJ.SVNX.CD,,,,,,,13548583247.6866,14608742805.9593,13229406064.6524,11154667604.0263,10079768495.8082,8004381621.6551,8195608103.41444,10434980525.1072,7212793470.50237,,8289652957.39893,7914908506.433491,,1942610510.99819,9248239352.26303,13034201585.1775,19359700491.9636,27472222578.2933,29085623198.2452,27633102699.2707,30009329317.0397,23828022233.8633,26021978791.1523,15651006307.3007,15768340899.9684,14999820657.4478,4624578300.2615,9957366981.579641,996653469.3347869,1902751900.1934898,21862466530.3194,33573050124.0802,39118128159.5388,31016860086.2279,37768449899.5809,51346514827.5528,47677785602.2986,41874450220.3707,40637318885.8899,43212467767.1799,36184212778.0036,34367004990.7055,,
"Ahorro neto ajustado, incluido el daño por emisión de partículas (% del INB)",Environment,Argentina,ARG,NY.ADJ.SVNG.GN.ZS,,,,,,,,,,,,,,,,,,,,,6.5605260580637,6.80485135734974,8.33594946780992,11.494503476733199,11.219218966823401,10.6807909181085,11.004444449662001,8.08647225721622,8.70504592427349,5.4600075300302695,5.49289343189973,5.53439272675379,4.751909018492849,7.962088810791321,0.506077807396897,0.927911152552277,9.586525610776269,11.8610604192933,10.952740323438,9.45707143114343,9.101030328275609,9.83850054400289,8.81892595117759,7.63230083650594,7.75398593437596,7.28066178418172,6.54650431165024,5.4195542926668,,
